model,rmse,r2
Linear Regression,0.15599920892217278,0.8695909958553526
Ridge,0.14516619470596817,0.8870740450776985
Lasso,0.43324391618066094,-0.005837289254832179
Random Forest,0.1587027646280593,0.8650317020930801
XGBoost,0.15616391000929658,0.8693154836497923
